Date,Close,GME Mentions,Differenced,Shifted 12
03-23,181.75,60,-12.740004999999996,8.170006
03-24,120.339996,60,-61.410004,5.389998999999989
03-25,183.75,70,63.410004,56.759995
03-26,181.0,64,-2.75,52.39999399999999
04-01,191.449997,34,10.449996999999996,18.100006000000008
04-06,184.5,28,-6.949996999999996,-5.0
04-08,170.259995,31,-14.240004999999996,4.5
04-09,158.360001,38,-11.899993999999992,-44.36000099999998
04-12,141.08999599999999,46,-17.270005000000026,-10.33000100000001
04-14,166.529999,46,25.44000300000002,-8.059998000000007
04-19,164.369995,33,-2.160004000000015,-1.4799959999999999
04-20,158.529999,31,-5.839995999999985,-5.779999000000004
04-21,158.509995,31,-0.020004000000000133,-12.740004999999996
04-22,151.169998,27,-7.339997000000011,-61.410004
04-23,151.179993,24,0.009995000000003529,63.410004
04-27,177.770004,17,26.590011000000004,-2.75
04-28,178.580002,15,0.8099980000000073,10.449996999999996
05-03,162.199997,20,-16.38000500000001,-6.949996999999996
05-04,160.729996,17,-1.4700009999999963,-14.240004999999996
05-05,159.479996,11,-1.25,-11.899993999999992
05-11,146.919998,12,-12.559998000000007,-17.270005000000026
05-18,180.669998,10,33.75,25.44000300000002
05-19,168.830002,12,-11.839995999999985,-2.160004000000015
05-25,209.429993,14,40.59999099999999,-5.839995999999985
05-27,254.13000499999998,27,44.70001199999999,-0.020004000000000133
05-28,222.0,28,-32.13000499999998,-7.339997000000011
06-04,248.36000099999998,10,26.360000999999983,0.009995000000003529
06-08,300.0,12,51.63999900000002,26.590011000000004
06-11,233.33999599999999,10,-66.66000400000001,0.8099980000000073
06-16,222.97000099999997,5,-10.369995000000017,-16.38000500000001
06-18,213.82000699999998,7,-9.149993999999992,-1.4700009999999963
06-21,200.369995,4,-13.450011999999987,-1.25
06-30,214.13999900000002,5,13.770004000000029,-12.559998000000007
07-06,199.559998,6,-14.58000100000001,33.75
07-07,190.66000400000001,6,-8.899993999999992,-11.839995999999985
07-08,191.380005,7,0.7200009999999963,40.59999099999999
07-09,191.229996,6,-0.15000900000001138,44.70001199999999
07-12,189.25,7,-1.9799959999999999,-32.13000499999998
