close,4 day shifted mentions,dates
4.67,0,03-04
4.84,0,03-05
4.6,0,03-08
4.7,0,03-09
4.78,0,03-10
4.92,0,03-11
4.86,0,03-12
4.85,0,03-15
4.96,0,03-17
5.01,0,03-18
5.07,0,03-19
5.09,1,03-22
4.98,1,03-23
4.82,0,03-24
4.85,0,03-25
4.87,0,03-26
4.77,0,04-01
4.82,0,04-06
4.74,0,04-08
4.71,0,04-09
4.72,0,04-12
4.87,0,04-14
4.96,0,04-19
4.9,0,04-20
4.86,0,04-21
4.99,0,04-22
4.96,0,04-23
4.93,0,04-27
5.21,0,04-28
5.07,0,05-03
4.9,0,05-04
5.08,0,05-05
5.32,0,05-11
5.46,0,05-18
5.44,0,05-19
5.37,0,05-25
5.56,0,05-27
5.7,0,05-28
6.34,0,06-04
6.53,0,06-08
6.37,0,06-11
6.54,5,06-16
6.35,9,06-18
6.42,2,06-21
6.01,0,06-30
5.57,0,07-06
5.6,0,07-07
5.56,0,07-08
5.55,0,07-09
