Date,Open,High,Low,Close,Adj Close,Volume
2021-03-03,25.110001,26.190001,24.049999,25.209999,25.209999,1886600
2021-03-04,25.881001,26.500000,24.129999,25.660000,25.660000,2006100
2021-03-05,25.889999,26.350000,23.600000,24.540001,24.540001,1585200
2021-03-08,24.990000,28.000000,24.410000,26.959999,26.959999,3115200
2021-03-09,27.209999,27.500000,25.010000,25.090000,25.090000,2245300
2021-03-10,25.673000,25.673000,23.969999,24.580000,24.580000,1815200
2021-03-11,25.070000,25.129999,24.250000,25.000000,25.000000,993400
2021-03-12,24.750000,25.730000,24.730000,25.700001,25.700001,896400
2021-03-15,25.730000,26.070000,25.040001,25.530001,25.530001,929300
2021-03-16,25.650000,25.650000,24.049999,24.250000,24.250000,979900
2021-03-17,24.150000,25.490000,24.129999,25.160000,25.160000,845500
2021-03-18,25.110001,26.040001,24.940001,25.090000,25.090000,879200
2021-03-19,24.915001,26.020000,24.770000,25.660000,25.660000,1769400
2021-03-22,25.700001,26.700001,25.190001,25.709999,25.709999,904800
2021-03-23,26.000000,26.000000,24.450001,24.459999,24.459999,992900
2021-03-24,24.570000,24.870001,23.228001,23.590000,23.590000,1651300
2021-03-25,23.280001,24.216000,22.790001,23.930000,23.930000,1647500
2021-03-26,23.920000,24.840000,23.620001,24.650000,24.650000,775600
2021-03-29,24.980000,25.389999,24.049999,24.270000,24.270000,2386100
2021-03-30,24.760000,27.400000,24.228001,26.879999,26.879999,4883000
2021-03-31,25.780001,27.655001,24.500000,26.990000,26.990000,5036300
2021-04-01,27.080000,29.370001,26.620001,29.040001,29.040001,3609700
2021-04-05,31.230000,33.250000,29.750000,31.700001,31.700001,6230100
2021-04-06,33.099998,33.740002,30.129999,31.139999,31.139999,4650600
2021-04-07,31.549999,32.009998,30.410000,30.780001,30.780001,2363700
2021-04-08,29.520000,29.690001,28.389999,29.049999,29.049999,7527100
2021-04-09,30.980000,32.000000,29.340000,30.840000,30.840000,5548900
2021-04-12,30.122999,32.599998,30.040001,32.290001,32.290001,3405000
2021-04-13,32.320000,32.470001,30.620001,31.680000,31.680000,2722000
