Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,14.000000,14.320000,13.870000,13.990000,13.990000,19857300
2021-03-02,14.250000,14.970000,13.820000,14.680000,14.680000,22679100
2021-03-03,14.800000,15.000000,14.280000,14.330000,14.330000,18371900
2021-03-04,14.050000,14.510000,13.050000,13.660000,13.660000,23573100
2021-03-05,13.990000,14.230000,12.770000,14.120000,14.120000,25153000
2021-03-08,14.240000,14.930000,14.130000,14.630000,14.630000,18743700
2021-03-09,14.640000,15.750000,14.500000,15.610000,15.610000,20363600
2021-03-10,15.700000,16.180000,15.480000,15.970000,15.970000,14846800
2021-03-11,16.299999,16.910000,16.090000,16.900000,16.900000,15175900
2021-03-12,16.850000,17.610001,16.500000,17.540001,17.540001,14801700
2021-03-15,17.510000,17.559999,16.809999,17.090000,17.090000,13018500
2021-03-16,17.000000,17.000000,15.910000,15.920000,15.920000,14059000
2021-03-17,15.780000,16.820000,15.550000,16.760000,16.760000,11572600
2021-03-18,16.700001,17.780001,16.590000,16.690001,16.690001,17174500
2021-03-19,16.850000,17.010000,16.080000,16.629999,16.629999,18197400
2021-03-22,16.760000,16.760000,15.840000,15.860000,15.860000,12241000
2021-03-23,15.510000,15.880000,14.600000,14.710000,14.710000,15185400
2021-03-24,15.270000,15.630000,14.610000,14.610000,14.610000,13328800
2021-03-25,14.270000,15.360000,14.010000,15.170000,15.170000,14398700
2021-03-26,15.640000,16.590000,15.410000,16.570000,16.570000,17641200
2021-03-29,16.440001,17.360001,16.129999,16.230000,16.230000,20441000
2021-03-30,16.290001,17.299999,16.010000,17.240000,17.240000,19194300
2021-03-31,18.440001,20.340000,18.270000,20.110001,20.110001,70999900
2021-04-01,20.150000,20.160000,18.980000,19.420000,19.420000,33745100
2021-04-05,19.900000,20.870001,19.350000,19.389999,19.389999,27534500
2021-04-06,19.389999,19.650000,18.299999,18.469999,18.469999,21756500
2021-04-07,18.430000,18.860001,17.920000,18.110001,18.110001,17619500
2021-04-08,18.090000,18.309999,17.280001,18.090000,18.090000,24670900
2021-04-09,17.799999,18.379999,17.680000,17.830000,17.830000,13984700
2021-04-12,17.820000,17.840000,17.330000,17.540001,17.540001,11862800
2021-04-13,17.680000,18.049999,17.219999,17.440001,17.440001,10250200
2021-04-14,17.680000,19.070000,17.559999,18.510000,18.510000,21975600
2021-04-15,18.750000,18.799999,17.740000,17.980000,17.980000,19718300
2021-04-16,18.240000,18.240000,17.600000,17.990000,17.990000,14824600
2021-04-19,17.830000,18.430000,17.049999,17.389999,17.389999,22873400
2021-04-20,17.389999,17.420000,16.230000,16.600000,16.600000,15438300
2021-04-21,16.330000,17.139999,15.840000,17.049999,17.049999,16334300
2021-04-22,17.620001,17.740000,16.670000,17.090000,17.090000,23916700
2021-04-23,17.299999,18.040001,17.020000,17.980000,17.980000,22884100
2021-04-26,18.049999,18.950001,17.660000,18.930000,18.930000,29503000
2021-04-27,18.840000,19.389999,18.469999,18.690001,18.690001,22668300
2021-04-28,18.420000,18.680000,17.920000,18.350000,18.350000,17988700
2021-04-29,18.549999,18.620001,17.320000,17.389999,17.389999,20401400
2021-04-30,17.090000,18.400000,17.000000,17.860001,17.860001,17874800
2021-05-03,18.000000,18.360001,17.520000,18.209999,18.209999,18253300
2021-05-04,18.320000,20.410000,18.209999,20.360001,20.360001,45971800
2021-05-05,20.500000,21.049999,19.709999,20.200001,20.200001,35176100
2021-05-06,20.299999,20.520000,19.280001,20.459999,20.459999,28758100
2021-05-07,20.549999,21.350000,20.219999,21.120001,21.120001,25581900
2021-05-10,21.969999,22.900000,20.600000,20.709999,20.709999,36039700
2021-05-11,19.940001,21.690001,19.820000,21.379999,21.379999,30634700
2021-05-12,21.379999,21.920000,19.700001,19.969999,19.969999,33842500
2021-05-13,19.980000,20.950001,19.150000,19.799999,19.799999,25267100
2021-05-14,19.510000,20.110001,18.959999,19.510000,19.510000,28813000
2021-05-17,19.900000,20.969999,19.559999,20.889999,20.889999,27046000
2021-05-18,20.760000,21.049999,20.170000,20.240000,20.240000,16239300
2021-05-19,19.459999,19.690001,18.620001,19.030001,19.030001,27723600
2021-05-20,19.059999,19.170000,18.260000,18.420000,18.420000,26485600
2021-05-21,18.600000,19.070000,17.910000,18.059999,18.059999,27813200
2021-05-24,18.049999,18.610001,17.650000,18.559999,18.559999,20008900
2021-05-25,18.680000,19.020000,18.080000,18.200001,18.200001,18500800
