Date,Open,High,Low,Close,Adj Close,Volume
2020-09-16,2.630000,2.700000,2.610000,2.640000,2.640000,1068200
2020-09-17,2.590000,2.600000,2.530000,2.560000,2.560000,1267100
2020-09-18,2.610000,2.830000,2.550000,2.740000,2.740000,4711400
2020-09-21,2.700000,2.710000,2.490000,2.610000,2.610000,2314000
2020-09-22,2.630000,2.650000,2.500000,2.550000,2.550000,1057100
2020-09-23,2.540000,2.600000,2.420000,2.430000,2.430000,1292400
2020-09-24,2.400000,2.530000,2.360000,2.500000,2.500000,1532100
2020-09-25,2.460000,2.510000,2.390000,2.410000,2.410000,991300
2020-09-28,2.450000,2.500000,2.420000,2.460000,2.460000,945200
2020-09-29,2.460000,2.620000,2.430000,2.590000,2.590000,1450500
2020-09-30,2.590000,2.610000,2.460000,2.480000,2.480000,1135300
2020-10-01,2.480000,2.510000,2.440000,2.480000,2.480000,935800
2020-10-02,2.410000,2.520000,2.410000,2.490000,2.490000,693900
2020-10-05,2.520000,2.590000,2.500000,2.570000,2.570000,888200
2020-10-06,2.600000,2.650000,2.520000,2.530000,2.530000,1067600
2020-10-07,2.540000,2.620000,2.540000,2.600000,2.600000,992900
2020-10-08,2.620000,2.680000,2.610000,2.650000,2.650000,902100
2020-10-09,2.670000,2.710000,2.630000,2.660000,2.660000,679700
2020-10-12,2.710000,2.710000,2.590000,2.640000,2.640000,712000
2020-10-13,2.640000,2.710000,2.610000,2.700000,2.700000,797600
2020-10-14,2.690000,2.790000,2.690000,2.710000,2.710000,1047100
2020-10-15,2.650000,2.740000,2.600000,2.720000,2.720000,722500
2020-10-16,2.740000,2.740000,2.650000,2.670000,2.670000,729000
2020-10-19,2.690000,2.710000,2.650000,2.660000,2.660000,716500
2020-10-20,2.670000,2.710000,2.640000,2.680000,2.680000,611600
2020-10-21,2.690000,2.740000,2.630000,2.650000,2.650000,480900
2020-10-22,2.650000,2.690000,2.620000,2.680000,2.680000,641400
