Date,Open,High,Low,Close,Adj Close,Volume
2021-03-03,8.990000,9.280000,8.020000,8.290000,8.290000,25552400
2021-03-04,8.080000,8.270000,6.930000,7.290000,7.290000,29250600
2021-03-05,7.620000,7.960000,6.310000,7.840000,7.840000,27624300
2021-03-08,7.907000,8.120000,7.300000,7.350000,7.350000,14706600
2021-03-09,7.560000,8.380000,7.429000,8.190000,8.190000,13962900
2021-03-10,8.300000,8.600000,8.000000,8.110000,8.110000,13634700
2021-03-11,8.360000,8.840000,8.300000,8.670000,8.670000,9389800
2021-03-12,8.410000,8.950000,8.220000,8.910000,8.910000,6492900
2021-03-15,8.900000,9.080000,8.470000,8.875000,8.875000,9329400
2021-03-16,8.870000,9.070000,8.415000,8.610000,8.610000,8385100
2021-03-17,8.260000,8.875000,8.250000,8.750000,8.750000,13208400
2021-03-18,8.630000,8.870000,8.280000,8.470000,8.470000,12319200
2021-03-19,8.560000,8.830000,8.230000,8.510000,8.510000,19825200
2021-03-22,8.440000,8.845000,8.360000,8.790000,8.790000,10363600
2021-03-23,8.590000,8.720000,8.110000,8.270000,8.270000,12386900
2021-03-24,8.190000,8.250000,7.640000,7.670000,7.670000,8895300
2021-03-25,7.302000,7.935000,7.010000,7.820000,7.820000,8926300
2021-03-26,7.740000,7.860000,7.250000,7.590000,7.590000,5656000
2021-03-29,7.390000,7.560000,7.160000,7.340000,7.340000,4552900
2021-03-30,7.240000,7.300000,6.895000,7.190000,7.190000,5227000
2021-03-31,7.300000,7.640000,7.230000,7.560000,7.560000,4816500
2021-04-01,7.630000,7.690000,7.321000,7.380000,7.380000,4261000
2021-04-05,7.520000,7.585000,7.271000,7.500000,7.500000,3472300
2021-04-06,7.490000,7.840000,7.430000,7.610000,7.610000,3911200
2021-04-07,7.610000,7.660000,7.290000,7.350000,7.350000,3555200
2021-04-08,7.350000,9.230000,7.120000,8.850000,8.850000,76990700
2021-04-09,8.480000,8.730000,8.040000,8.210000,8.210000,28369100
2021-04-12,8.080000,8.140000,7.610000,7.820000,7.820000,10003600
2021-04-13,7.740000,8.000000,7.630000,7.810000,7.810000,4714700
2021-04-14,7.870000,7.870000,7.410000,7.420000,7.420000,4996100
2021-04-15,7.570000,7.690000,7.110000,7.350000,7.350000,5824400
2021-04-16,7.360000,10.030000,7.230000,8.820000,8.820000,249097800
2021-04-19,9.620000,10.570000,9.170000,9.670000,9.670000,236758200
2021-04-20,9.410000,9.420000,8.360000,8.620000,8.620000,41659000
2021-04-21,8.520000,9.290000,8.070000,9.050000,9.050000,23876800
2021-04-22,9.079000,9.420000,8.480000,8.500000,8.500000,12717000
2021-04-23,8.550000,9.300000,8.510000,8.770000,8.770000,12228800
2021-04-26,8.980000,9.450000,8.840000,9.220000,9.220000,12273100
