Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,12.570000,12.838000,12.150000,12.400000,12.400000,1216300
2020-09-18,12.500000,12.590000,11.850000,12.200000,12.200000,1347200
2020-09-21,11.900000,11.980000,11.410000,11.640000,11.640000,1858500
2020-09-22,11.840000,12.230000,11.500000,11.900000,11.900000,1284200
2020-09-23,11.900000,11.931000,10.900000,11.110000,11.110000,2367800
2020-09-24,10.810000,11.280000,10.570000,10.960000,10.960000,1947100
2020-09-25,11.119000,11.200000,11.000000,11.200000,11.200000,1092800
2020-09-28,11.330000,11.392000,11.030000,11.300000,11.300000,748300
2020-09-29,11.170000,11.250000,11.050000,11.170000,11.170000,536900
2020-09-30,11.250000,11.250000,11.060000,11.140000,11.140000,604500
2020-10-01,11.120000,11.200000,10.820000,11.130000,11.130000,850800
2020-10-02,10.730000,11.150000,10.710000,10.980000,10.980000,808200
2020-10-05,10.980000,11.070000,10.650000,10.770000,10.770000,1021100
2020-10-06,10.740000,10.800000,10.390000,10.560000,10.560000,1447100
2020-10-07,10.520000,10.600000,10.420000,10.510000,10.510000,791000
2020-10-08,10.450000,10.680000,10.450000,10.670000,10.670000,538600
2020-10-09,10.770000,10.790000,10.545000,10.600000,10.600000,466400
2020-10-12,10.530000,10.620000,10.445000,10.460000,10.460000,784800
2020-10-13,10.490000,10.496000,10.300000,10.400000,10.400000,873300
2020-10-14,10.450000,10.460000,10.330000,10.450000,10.450000,342700
2020-10-15,10.440000,10.450000,10.320000,10.380000,10.380000,266100
2020-10-16,10.340000,10.450000,10.340000,10.410000,10.410000,330500
2020-10-19,10.360000,10.550000,10.360000,10.550000,10.550000,514700
2020-10-20,10.530000,10.530000,10.380000,10.380000,10.380000,436600
2020-10-21,10.370000,10.410000,10.350000,10.350000,10.350000,437300
2020-10-22,10.350000,10.470000,10.315000,10.410000,10.410000,940600
2020-10-23,10.400000,10.400000,10.330000,10.350000,10.350000,330500
2020-10-26,10.330000,10.360000,10.320000,10.340000,10.340000,520300
2020-10-27,10.320000,10.400000,10.310000,10.310000,10.310000,520800
2020-10-28,10.290000,10.310000,10.180000,10.310000,10.310000,641100
2020-10-29,10.220000,10.340000,10.220000,10.240000,10.240000,252800
2020-10-30,10.230000,10.270000,10.200000,10.250000,10.250000,401500
2020-11-02,10.250000,10.300000,10.220000,10.230000,10.230000,281500
2020-11-03,10.240000,10.300000,10.220000,10.230000,10.230000,226500
2020-11-04,10.240000,10.320000,10.230000,10.230000,10.230000,346000
2020-11-05,10.240000,10.330000,10.220000,10.230000,10.230000,401900
2020-11-06,10.230000,10.290000,10.230000,10.270000,10.270000,229000
2020-11-09,10.330000,10.330000,10.220000,10.300000,10.300000,1762800
2020-11-10,10.300000,10.310000,10.230000,10.230000,10.230000,325600
2020-11-11,10.290000,10.295000,10.230000,10.250000,10.250000,303200
2020-11-12,10.230000,10.280000,10.230000,10.230000,10.230000,319800
2020-11-13,10.300000,10.300000,10.235000,10.270000,10.270000,502300
2020-11-16,10.300000,10.321000,10.230000,10.250000,10.250000,848200
2020-11-17,10.260000,10.300000,10.250000,10.250000,10.250000,457200
2020-11-18,10.300000,10.480000,10.280000,10.370000,10.370000,1285100
2020-11-19,10.450000,10.890000,10.430000,10.710000,10.710000,2977700
2020-11-20,10.803000,10.836000,10.550000,10.700000,10.700000,1280000
2020-11-23,10.900000,11.560000,10.900000,11.300000,11.300000,4030400
2020-11-24,11.670000,12.300000,11.000000,11.190000,11.190000,3759800
2020-11-25,11.100000,11.580000,11.010000,11.520000,11.520000,2210900
2020-11-27,12.320000,12.820000,12.130000,12.560000,12.560000,3460600
2020-11-30,13.500000,14.490000,12.390000,13.000000,13.000000,5591100
2020-12-01,13.462000,13.490000,11.930000,12.480000,12.480000,2588500
2020-12-02,11.510000,12.100000,11.170000,11.820000,11.820000,2097500
2020-12-03,12.200000,12.500000,12.000000,12.170000,12.170000,1421800
2020-12-04,12.500000,13.500000,12.498000,13.450000,13.450000,6089200
2020-12-07,17.309999,18.559999,16.500000,18.200001,18.200001,18521700
2020-12-08,17.889999,18.990000,16.820000,17.930000,17.930000,6057000
2020-12-09,19.020000,20.930000,18.510000,20.000000,20.000000,8041200
2020-12-10,19.070000,22.430000,18.570000,22.000000,22.000000,6493400
2020-12-11,21.570000,21.570000,18.910000,20.280001,20.280001,5837000
2020-12-14,20.850000,20.850000,18.639999,19.340000,19.340000,3481400
2020-12-15,19.145000,19.160000,16.610001,18.020000,18.020000,4997000
2020-12-16,18.827999,20.299999,17.760000,19.920000,19.920000,3978600
2020-12-17,19.200001,20.490000,17.879999,18.900000,18.900000,6917100
2020-12-18,19.000000,19.820000,18.200001,19.290001,19.290001,3959300
2020-12-21,19.200001,20.280001,18.900000,19.490000,19.490000,4401300
2020-12-22,22.750000,24.900000,18.100000,18.889999,18.889999,13287800
2020-12-23,20.190001,20.400000,19.000000,19.400000,19.400000,8505700
2020-12-24,19.650000,19.700001,17.250000,17.809999,17.809999,6449200
2020-12-28,17.100000,17.100000,15.300000,15.390000,15.390000,9098600
2020-12-29,15.290000,15.330000,14.030000,14.630000,14.630000,5897300
2020-12-30,14.510000,15.750000,14.290000,14.320000,14.320000,5130800
2020-12-31,14.500000,14.590000,13.520000,13.800000,13.800000,4835500
2021-01-04,13.830000,13.850000,12.000000,12.500000,12.500000,7605500
2021-01-05,13.800000,14.420000,13.400000,14.090000,14.090000,7337000
2021-01-06,14.380000,15.090000,13.700000,14.040000,14.040000,5660500
2021-01-07,14.490000,14.770000,13.940000,14.190000,14.190000,3765200
2021-01-08,15.400000,15.500000,14.110000,15.000000,15.000000,6174700
2021-01-11,15.695000,17.200001,15.480000,17.049999,17.049999,7824600
2021-01-12,16.400000,16.950001,16.150000,16.719999,16.719999,5186800
2021-01-13,19.920000,20.000000,17.830000,19.000000,19.000000,21796700
2021-01-14,19.340000,19.400000,17.360001,17.440001,17.440001,10442300
2021-01-15,17.450001,17.879999,16.709999,16.900000,16.900000,4483500
2021-01-19,17.188000,17.370001,16.020000,16.680000,16.680000,4958000
2021-01-20,16.947001,17.968000,16.750000,17.360001,17.360001,4421600
2021-01-21,17.889999,17.950001,16.850000,17.120001,17.120001,3340300
2021-01-22,17.059999,17.090000,16.670000,17.000000,17.000000,2785700
2021-01-25,17.000000,17.170000,15.650000,16.799999,16.799999,4354000
2021-01-26,16.299999,16.370001,15.850000,16.209999,16.209999,5332100
2021-01-27,15.572000,16.200001,14.800000,15.140000,15.140000,5112100
2021-01-28,15.300000,15.770000,14.900000,15.470000,15.470000,3354700
2021-01-29,15.100000,15.600000,14.800000,15.070000,15.070000,5121000
2021-02-01,15.230000,16.190001,14.540000,15.500000,15.500000,3914800
2021-02-02,16.254999,16.299999,15.600000,15.770000,15.770000,3040100
2021-02-03,16.110001,17.250000,16.110001,16.400000,16.400000,6860600
2021-02-04,17.770000,18.879999,17.170000,18.850000,18.850000,15283500
2021-02-05,18.760000,18.799999,17.430000,17.629999,17.629999,7838600
2021-02-08,17.090000,17.459999,16.528999,17.010000,17.010000,6488100
2021-02-09,17.049999,17.299999,16.430000,16.820000,16.820000,4745000
2021-02-10,16.886999,17.230000,15.640000,16.520000,16.520000,4012300
2021-02-11,16.549999,16.590000,16.000000,16.219999,16.219999,2621700
2021-02-12,16.230000,17.129999,15.870000,16.680000,16.680000,3173500
2021-02-16,17.000000,17.000000,16.379999,16.690001,16.690001,3378300
2021-02-17,16.600000,16.660000,15.930000,16.440001,16.440001,3283400
2021-02-18,16.040001,16.180000,15.460000,15.700000,15.700000,3569100
2021-02-19,15.770000,15.980000,15.230000,15.310000,15.310000,3166000
2021-02-22,15.080000,15.290000,14.600000,14.660000,14.660000,3349100
2021-02-23,13.500000,13.790000,12.500000,13.170000,13.170000,5812800
2021-02-24,13.520000,14.300000,13.357000,14.210000,14.210000,3255400
2021-02-25,14.100000,14.640000,13.310000,13.520000,13.520000,2725000
2021-02-26,13.300000,13.616000,12.750000,12.860000,12.860000,4107300
2021-03-01,13.280000,14.650000,13.010000,14.270000,14.270000,4383600
2021-03-02,14.130000,14.250000,13.660000,13.880000,13.880000,2114800
2021-03-03,14.060000,14.070000,12.920000,13.030000,13.030000,3387300
2021-03-04,12.888000,13.035000,10.900000,11.430000,11.430000,5208200
2021-03-05,11.600000,11.740000,9.680000,11.180000,11.180000,6034000
2021-03-08,11.260000,12.150000,11.030000,11.130000,11.130000,3015000
2021-03-09,11.654000,12.470000,11.580000,12.220000,12.220000,3908400
2021-03-10,12.610000,13.470000,12.440000,12.890000,12.890000,4253900
2021-03-11,13.200000,14.840000,13.150000,14.670000,14.670000,8150400
2021-03-12,15.090000,16.000000,14.150000,14.820000,14.820000,13103500
2021-03-15,15.449000,16.299999,15.040000,15.700000,15.700000,8109000
2021-03-16,15.800000,16.680000,15.070000,15.440000,15.440000,7610900
2021-03-17,14.770000,16.129999,14.654000,15.640000,15.640000,8931800
2021-03-18,15.200000,16.209999,15.040000,15.350000,15.350000,6443300
2021-03-19,15.500000,15.690000,14.880000,15.380000,15.380000,13728800
2021-03-22,15.660000,15.850000,14.900000,15.310000,15.310000,5366800
2021-03-23,15.080000,15.390000,14.660000,14.770000,14.770000,5309000
2021-03-24,15.000000,15.000000,12.980000,12.985000,12.985000,5065200
2021-03-25,12.400000,12.980000,12.000000,12.800000,12.800000,4136300
2021-03-26,12.850000,13.280000,11.890000,12.460000,12.460000,3627500
2021-03-29,12.460000,12.540000,11.650000,11.800000,11.800000,5294600
2021-03-30,9.640000,9.780000,8.520000,9.300000,9.300000,36310300
2021-03-31,9.550000,9.600000,8.960000,9.030000,9.030000,12981100
2021-04-01,9.300000,9.630000,8.960000,8.990000,8.990000,7911400
2021-04-05,9.160000,9.160000,8.050000,8.470000,8.470000,12313000
2021-04-06,8.360000,9.400000,8.320000,9.260000,9.260000,7927800
2021-04-07,9.060000,10.650000,8.920000,9.530000,9.530000,10471000
2021-04-08,9.880000,10.380000,9.710000,10.330000,10.330000,6323300
2021-04-09,10.020000,10.180000,9.540000,9.770000,9.770000,3993200
2021-04-12,9.740000,9.740000,8.790000,8.940000,8.940000,4475300
2021-04-13,8.940000,9.250000,8.510000,9.190000,9.190000,4529700
2021-04-14,9.000000,9.330000,8.920000,9.160000,9.160000,2725000
2021-04-15,9.020000,9.090000,8.200000,8.360000,8.360000,6129700
2021-04-16,8.310000,8.430000,8.120000,8.210000,8.210000,3521900
2021-04-19,8.180000,8.530000,8.060000,8.280000,8.280000,3289800
2021-04-20,7.950000,8.030000,7.500000,7.650000,7.650000,5230800
2021-04-21,7.500000,8.650000,7.330000,8.610000,8.610000,4982700
2021-04-22,8.570000,8.840000,8.262000,8.440000,8.440000,3421100
2021-04-23,8.400000,8.890000,8.320000,8.710000,8.710000,1928600
2021-04-26,8.850000,9.180000,8.610000,8.970000,8.970000,1977000
2021-04-27,9.103000,9.120000,8.820000,8.980000,8.980000,1334600
2021-04-28,8.830000,9.540000,8.770000,9.490000,9.490000,2726600
2021-04-29,9.390000,9.530000,8.892000,9.110000,9.110000,1905200
2021-04-30,8.890000,9.160000,8.670000,8.820000,8.820000,1485100
2021-05-03,8.920000,8.940000,8.290000,8.400000,8.400000,1681000
2021-05-04,8.300000,8.380000,7.952000,8.110000,8.110000,2267000
2021-05-05,8.090000,8.180000,7.960000,8.025000,8.025000,1469800
2021-05-06,7.967000,7.993000,7.235000,7.385000,7.385000,3297200
2021-05-07,7.490000,8.020000,7.320000,7.730000,7.730000,2857200
2021-05-10,7.640000,7.720000,7.000000,7.090000,7.090000,2856000
2021-05-11,6.859000,8.010000,6.510000,7.920000,7.920000,4318300
2021-05-12,7.510000,7.740000,7.220000,7.370000,7.370000,2132300
2021-05-13,7.420000,7.770000,7.050000,7.130000,7.130000,2006600
2021-05-14,7.330000,7.580000,7.180000,7.300000,7.300000,1669500
2021-05-17,7.370000,7.960000,7.270000,7.550000,7.550000,2887800
2021-05-18,7.700000,7.920000,7.080000,7.590000,7.590000,6108000
2021-05-19,7.300000,7.810000,7.180000,7.770000,7.770000,2501300
2021-05-20,7.760000,7.810000,7.530000,7.730000,7.730000,1897000
2021-05-21,7.780000,7.910000,7.610000,7.660000,7.660000,1957600
2021-05-24,8.100000,8.228000,7.560000,7.740000,7.740000,2153900
2021-05-25,7.700000,7.790000,7.420000,7.550000,7.550000,1898900
2021-05-26,7.548000,8.100000,7.520000,7.900000,7.900000,2332100
2021-05-27,7.950000,8.240000,7.810000,8.200000,8.200000,4315900
2021-05-28,8.200000,8.450000,7.900000,7.920000,7.920000,1886500
2021-06-01,8.000000,8.220000,7.830000,8.150000,8.150000,1660700
2021-06-02,8.210000,9.000000,8.060000,8.850000,8.850000,5673900
2021-06-03,8.810000,9.270000,8.500000,8.910000,8.910000,5735000
2021-06-04,9.010000,9.110000,8.562000,8.680000,8.680000,3004100
2021-06-07,8.870000,9.170000,8.610000,8.900000,8.900000,3125800
2021-06-08,9.030000,11.920000,9.030000,10.710000,10.710000,26470200
2021-06-09,12.090000,12.185000,9.810000,10.040000,10.040000,13536900
2021-06-10,9.970000,10.230000,9.260000,9.760000,9.760000,5804200
2021-06-11,9.840000,9.960000,9.350000,9.700000,9.700000,3378600
2021-06-14,9.650000,10.000000,9.400000,9.460000,9.460000,2497500
2021-06-15,9.450000,11.400000,9.389000,11.050000,11.050000,31953300
2021-06-16,10.720000,11.040000,9.830000,10.200000,10.200000,9777300
2021-06-17,10.330000,10.647000,9.610000,9.930000,9.930000,7327300
2021-06-18,9.990000,10.350000,9.830000,9.970000,9.970000,6352000
2021-06-21,9.780000,9.900000,9.325000,9.470000,9.470000,5216900
2021-06-22,9.527000,9.620000,9.130000,9.480000,9.480000,3371100
2021-06-23,9.589000,10.080000,9.550000,10.000000,10.000000,3278100
2021-06-24,10.010000,10.148000,9.660000,9.820000,9.820000,3132000
2021-06-25,9.820000,9.990000,9.610000,9.670000,9.670000,13365600
2021-06-28,9.772000,9.928000,9.580000,9.820000,9.820000,2761100
2021-06-29,9.883000,10.210000,9.640000,9.820000,9.820000,5600000
2021-06-30,9.770000,10.310000,9.650000,9.940000,9.940000,4134800
2021-07-01,10.070000,10.120000,9.450000,9.470000,9.470000,2494100
2021-07-02,9.500000,9.686000,9.040000,9.080000,9.080000,2239300
2021-07-06,9.248000,9.283000,8.930000,9.120000,9.120000,1634600
2021-07-07,9.120000,9.130000,8.540000,8.810000,8.810000,2256900
2021-07-08,8.480000,8.860000,8.414000,8.830000,8.830000,1351900
2021-07-09,8.880000,9.050000,8.700000,9.010000,9.010000,1029900
2021-07-12,9.020000,9.229000,8.752000,9.110000,9.110000,1216400
2021-07-13,9.080000,9.150000,8.790000,8.970000,8.970000,1206200
2021-07-14,9.050000,9.195000,8.670000,8.710000,8.710000,1530800
2021-07-15,8.720000,9.400000,8.610000,8.820000,8.820000,1784900
2021-07-16,8.820000,8.840000,8.450000,8.490000,8.490000,1208600
2021-07-19,8.230000,8.410000,7.937000,8.330000,8.330000,1613700
2021-07-20,8.350000,8.640000,8.100000,8.510000,8.510000,1252200
2021-07-21,8.420000,8.790000,8.350000,8.740000,8.740000,1213100
2021-07-22,8.850000,8.870000,8.410000,8.440000,8.440000,978200
2021-07-23,8.400000,8.467000,8.090000,8.200000,8.200000,976900
2021-07-26,8.130000,8.670000,8.037000,8.350000,8.350000,1402000
2021-07-27,8.350000,8.350000,7.920000,8.090000,8.090000,1755700
2021-07-28,8.133000,8.460000,8.070000,8.380000,8.380000,1212500
2021-07-29,8.400000,8.420000,8.120000,8.120000,8.120000,1372000
2021-07-30,8.050000,8.310000,7.990000,8.130000,8.130000,1089000
2021-08-02,8.250000,8.250000,7.973000,7.990000,7.990000,1199800
2021-08-03,8.120000,8.120000,7.772000,7.840000,7.840000,1063100
2021-08-04,7.770000,8.040000,7.620000,7.630000,7.630000,1215700
2021-08-05,7.630000,8.110000,7.615000,7.950000,7.950000,1305400
2021-08-06,8.000000,8.110000,7.900000,8.010000,8.010000,800500
2021-08-09,7.990000,8.250000,7.950000,7.980000,7.980000,1652900
2021-08-10,8.107000,8.270000,7.900000,7.990000,7.990000,1698700
2021-08-11,8.000000,8.070000,7.810000,7.940000,7.940000,1188300
2021-08-12,7.950000,7.950000,7.560000,7.640000,7.640000,1764600
2021-08-13,7.690000,7.740000,7.010000,7.020000,7.020000,2717300
2021-08-16,7.000000,7.050000,6.550000,6.570000,6.570000,3402200
2021-08-17,6.550000,6.550000,6.148000,6.350000,6.350000,2979900
2021-08-18,6.501000,6.530000,6.120000,6.150000,6.150000,2520900
2021-08-19,6.080000,6.120000,5.750000,5.830000,5.830000,3907300
2021-08-20,5.800000,6.180000,5.790000,5.910000,5.910000,2380400
2021-08-23,6.140000,7.870000,6.100000,7.790000,7.790000,15690400
2021-08-24,7.420000,7.580000,6.920000,7.560000,7.560000,7224200
2021-08-25,7.370000,7.960000,7.350000,7.500000,7.500000,4204600
2021-08-26,7.507000,8.070000,7.400000,7.650000,7.650000,3374700
