Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,9.400000,9.800000,8.920000,9.150000,9.150000,15809900
2021-03-05,9.270000,9.390000,8.410000,9.190000,9.190000,15391400
2021-03-08,9.200000,9.450000,8.880000,8.910000,8.910000,9897800
2021-03-09,9.150000,9.950000,9.110000,9.750000,9.750000,10784200
2021-03-10,9.920000,10.300000,9.820000,9.980000,9.980000,7539400
2021-03-11,10.230000,10.600000,10.020000,10.570000,10.570000,7621300
2021-03-12,10.230000,10.570000,9.940000,10.500000,10.500000,6871200
2021-03-15,10.670000,10.680000,10.260000,10.450000,10.450000,5382000
2021-03-16,10.410000,10.820000,10.170000,10.470000,10.470000,6540700
2021-03-17,10.190000,10.560000,10.070000,10.520000,10.520000,5871800
2021-03-18,10.250000,10.500000,9.740000,9.840000,9.840000,5733800
2021-03-19,10.040000,10.240000,9.840000,10.110000,10.110000,11353400
2021-03-22,10.190000,10.410000,9.990000,10.320000,10.320000,4325400
2021-03-23,10.250000,10.390000,9.480000,9.510000,9.510000,6410600
2021-03-24,9.620000,9.620000,8.950000,8.980000,8.980000,7819900
2021-03-25,8.870000,9.220000,8.780000,9.060000,9.060000,6641800
2021-03-26,9.120000,9.160000,8.840000,9.030000,9.030000,7196800
2021-03-29,9.020000,9.250000,8.860000,9.040000,9.040000,6067500
2021-03-30,9.010000,9.040000,8.710000,8.810000,8.810000,6373600
2021-03-31,8.890000,9.440000,8.730000,9.280000,9.280000,7523400
2021-04-01,9.390000,9.960000,9.330000,9.480000,9.480000,6050600
2021-04-05,9.550000,9.690000,9.100000,9.130000,9.130000,6339000
2021-04-06,9.180000,9.280000,8.910000,8.950000,8.950000,5946100
2021-04-07,8.980000,9.180000,8.880000,8.900000,8.900000,5913900
2021-04-08,8.950000,8.970000,8.660000,8.800000,8.800000,6680600
2021-04-09,8.770000,8.890000,8.640000,8.720000,8.720000,4780600
2021-04-12,8.690000,8.730000,8.060000,8.240000,8.240000,7574300
2021-04-13,8.270000,8.790000,8.260000,8.730000,8.730000,5577700
2021-04-14,8.800000,9.200000,8.690000,8.840000,8.840000,5963700
2021-04-15,9.820000,10.370000,8.850000,9.010000,9.010000,71187600
2021-04-16,8.800000,8.970000,8.530000,8.740000,8.740000,8920100
2021-04-19,8.690000,8.960000,8.590000,8.810000,8.810000,6251600
2021-04-20,8.790000,8.910000,8.450000,8.630000,8.630000,5244100
2021-04-21,8.540000,9.160000,8.490000,9.160000,9.160000,6252700
2021-04-22,9.230000,9.370000,8.920000,9.130000,9.130000,6493300
2021-04-23,6.600000,7.040000,6.490000,6.850000,6.850000,54503300
2021-04-26,6.900000,7.350000,6.740000,6.950000,6.950000,17331000
2021-04-27,7.070000,7.290000,6.960000,7.170000,7.170000,9640700
2021-04-28,7.120000,7.250000,7.000000,7.080000,7.080000,6527900
2021-04-29,7.070000,7.190000,6.800000,6.890000,6.890000,6280600
2021-04-30,6.820000,7.020000,6.750000,6.810000,6.810000,5153300
2021-05-03,6.870000,6.910000,6.580000,6.650000,6.650000,6766900
2021-05-04,6.610000,6.610000,6.330000,6.530000,6.530000,8016100
2021-05-05,6.530000,6.730000,6.440000,6.530000,6.530000,4928100
2021-05-06,6.530000,6.530000,6.240000,6.510000,6.510000,7707000
2021-05-07,6.600000,6.910000,6.600000,6.850000,6.850000,6530800
2021-05-10,6.990000,7.200000,6.610000,6.670000,6.670000,16739900
2021-05-11,5.900000,6.610000,5.810000,6.490000,6.490000,9645700
2021-05-12,6.580000,6.600000,6.140000,6.300000,6.300000,9457500
2021-05-13,6.260000,6.400000,6.090000,6.230000,6.230000,7227300
2021-05-14,6.220000,6.720000,6.080000,6.550000,6.550000,6159200
2021-05-17,6.620000,6.860000,6.550000,6.800000,6.800000,5062000
2021-05-18,6.860000,7.280000,6.750000,7.110000,7.110000,7282400
2021-05-19,7.000000,7.110000,6.720000,6.850000,6.850000,3952400
2021-05-20,6.900000,7.150000,6.800000,7.130000,7.130000,4533400
2021-05-21,7.140000,7.190000,7.030000,7.060000,7.060000,3448800
2021-05-24,7.060000,7.270000,6.830000,7.160000,7.160000,4468500
2021-05-25,7.160000,7.290000,7.000000,7.040000,7.040000,3357300
2021-05-26,7.050000,7.410000,6.980000,7.370000,7.370000,5284200
2021-05-27,7.360000,7.630000,7.280000,7.570000,7.570000,4298300
2021-05-28,7.570000,8.050000,7.470000,7.550000,7.550000,5542700
2021-06-01,7.560000,7.690000,7.390000,7.440000,7.440000,3153300
2021-06-02,7.460000,7.990000,7.370000,7.960000,7.960000,4907200
2021-06-03,7.900000,8.250000,7.820000,7.890000,7.890000,5661500
2021-06-04,7.860000,8.120000,7.820000,7.940000,7.940000,3145500
2021-06-07,7.970000,8.580000,7.970000,8.440000,8.440000,6628000
2021-06-08,8.650000,8.690000,8.240000,8.590000,8.590000,6036800
2021-06-09,8.890000,10.330000,8.800000,10.030000,10.030000,23803800
2021-06-10,9.590000,9.650000,8.890000,9.150000,9.150000,7663800
