Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,4.800000,4.860000,4.630000,4.670000,4.633875,79428000
2021-03-05,4.870000,4.870000,4.710000,4.840000,4.802561,66636800
2021-03-08,4.820000,4.880000,4.570000,4.600000,4.564417,73869100
2021-03-09,4.610000,4.750000,4.540000,4.700000,4.663643,58994900
2021-03-10,4.770000,4.840000,4.640000,4.780000,4.743024,76380400
2021-03-11,4.910000,4.940000,4.790000,4.920000,4.881941,52134700
2021-03-12,4.880000,4.930000,4.840000,4.860000,4.822406,36298700
2021-03-15,4.830000,4.900000,4.780000,4.850000,4.812483,39176900
2021-03-16,4.870000,4.880000,4.740000,4.760000,4.723180,30364200
2021-03-17,4.750000,5.000000,4.730000,4.960000,4.921633,48626300
2021-03-18,5.080000,5.150000,4.990000,5.010000,4.971245,45669600
2021-03-19,5.060000,5.160000,4.980000,5.070000,5.030782,45078200
2021-03-22,4.980000,5.120000,4.930000,5.090000,5.050627,43930400
2021-03-23,5.050000,5.190000,4.980000,4.980000,4.941478,51930400
2021-03-24,4.960000,5.010000,4.800000,4.820000,4.782715,53316200
2021-03-25,4.760000,4.860000,4.740000,4.850000,4.812483,48044300
2021-03-26,4.860000,4.910000,4.780000,4.870000,4.841312,28536800
2021-03-29,4.810000,4.870000,4.740000,4.820000,4.791606,34283700
2021-03-30,4.840000,4.960000,4.820000,4.920000,4.891018,28571800
2021-03-31,4.910000,5.000000,4.860000,4.960000,4.930782,42332200
2021-04-01,4.900000,4.930000,4.730000,4.770000,4.744771,38729200
2021-04-05,4.810000,4.880000,4.760000,4.830000,4.804454,34607300
2021-04-06,4.840000,4.890000,4.790000,4.820000,4.794507,28934200
2021-04-07,4.850000,4.890000,4.730000,4.780000,4.754719,35413900
2021-04-08,4.770000,4.840000,4.740000,4.740000,4.714930,36041200
2021-04-09,4.700000,4.760000,4.670000,4.710000,4.685089,23950700
2021-04-12,4.720000,4.760000,4.680000,4.720000,4.695036,20030800
