Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,38.930000,39.700001,37.580002,38.139999,38.139999,8836700
2021-03-02,38.169998,38.169998,33.450001,33.770000,33.770000,14798700
2021-03-03,35.099998,35.180000,31.850000,32.029999,32.029999,18282500
2021-03-04,31.010000,32.580002,28.580000,30.299999,30.299999,17473100
2021-03-05,28.690001,29.620001,23.940001,27.290001,27.290001,36952400
2021-03-08,27.309999,29.620001,26.299999,26.530001,26.530001,15206800
2021-03-09,28.320000,30.750000,27.719999,30.200001,30.200001,14665300
2021-03-10,32.939999,33.410000,29.920000,30.590000,30.590000,16153000
2021-03-11,32.500000,34.200001,31.559999,33.580002,33.580002,15856800
2021-03-12,32.540001,34.730000,32.049999,34.549999,34.549999,10436800
2021-03-15,35.669998,36.360001,33.650002,34.799999,34.799999,13194200
2021-03-16,34.709999,34.799999,32.270000,32.509998,32.509998,10858800
2021-03-17,31.860001,34.119999,31.209999,33.740002,33.740002,12624900
2021-03-18,33.139999,33.680000,31.680000,31.959999,31.959999,9178700
2021-03-19,31.820000,33.240002,30.900000,33.139999,33.139999,7363300
2021-03-22,33.509998,33.790001,31.980000,32.240002,32.240002,7262200
2021-03-23,31.900000,31.930000,29.950001,30.930000,30.930000,11328300
2021-03-24,30.920000,31.540001,28.660000,28.799999,28.799999,9174200
2021-03-25,28.000000,29.948000,27.580000,29.580000,29.580000,8861600
2021-03-26,29.690001,30.530001,28.370001,29.590000,29.590000,6372800
2021-03-29,30.860001,30.950001,28.730000,29.209999,29.209999,11336700
2021-03-30,28.910000,30.379999,28.379999,30.139999,30.139999,8469700
2021-03-31,30.290001,31.725000,30.155001,30.629999,30.629999,8495000
2021-04-01,31.290001,31.743000,30.160000,30.750000,30.750000,6687600
2021-04-05,31.190001,31.309999,28.780001,29.600000,29.600000,10262000
2021-04-06,29.400000,31.000000,29.309999,30.709999,30.709999,7115000
2021-04-07,30.459999,30.900000,28.980000,29.240000,29.240000,8310200
2021-04-08,29.059999,29.469999,28.500000,29.200001,29.200001,6723600
2021-04-09,28.900000,29.430000,28.792000,29.280001,29.280001,3625000
2021-04-12,28.900000,28.930000,26.459999,26.770000,26.770000,15402400
2021-04-13,26.969999,27.570000,26.469999,26.879999,26.879999,11301600
2021-04-14,27.170000,27.590000,26.389999,26.680000,26.680000,9073600
2021-04-15,25.020000,25.459999,22.620001,23.059999,23.059999,33356700
2021-04-16,23.129999,24.049999,22.860001,23.360001,23.360001,12655000
2021-04-19,23.590000,23.629999,21.549999,22.459999,22.459999,19271100
2021-04-20,20.549999,21.459999,20.209999,20.980000,20.980000,19367200
2021-04-21,20.650000,22.346001,20.160000,22.260000,22.260000,11766900
2021-04-22,22.540001,23.100000,21.500000,21.719999,21.719999,8504800
2021-04-23,21.910000,22.420000,21.719999,22.160000,22.160000,5391900
2021-04-26,22.500000,23.490000,21.870001,23.180000,23.180000,8179700
2021-04-27,23.299999,23.879999,22.650000,23.510000,23.510000,12532800
2021-04-28,23.440001,23.629999,22.860001,23.480000,23.480000,6318900
2021-04-29,23.260000,23.540001,21.980000,22.540001,22.540001,10820300
2021-04-30,22.080000,22.760000,21.830000,22.150000,22.150000,6301000
2021-05-03,21.719999,21.722000,20.010000,20.139999,20.139999,13572200
2021-05-04,20.000000,21.549999,19.160000,20.799999,20.799999,16551500
2021-05-05,20.219999,20.750000,19.820000,19.940001,19.940001,8999900
2021-05-06,20.000000,20.000000,18.680000,19.180000,19.180000,14544300
2021-05-07,19.080000,19.889000,19.049999,19.610001,19.610001,9413300
2021-05-10,19.580000,19.590000,17.850000,17.950001,17.950001,17387000
2021-05-11,14.530000,18.200001,14.270000,18.120001,18.120001,35234000
2021-05-12,17.299999,17.719999,15.911000,16.080000,16.080000,18396400
2021-05-13,16.240000,16.940001,15.050000,15.500000,15.500000,13991100
2021-05-14,15.680000,16.520000,15.530000,16.180000,16.180000,11338800
